actor_url,actor_name,actor_gender,actor_race
https://www.imdb.com/name/nm0001772,Patrick Stewart,CM,
https://www.imdb.com/name/nm2933542,Boyd Holbrook,CM,
https://www.imdb.com/name/nm0735300,Elizabeth Rodriguez,CF,
https://www.imdb.com/name/nm0580351,Stephen Merchant,CM,
https://www.imdb.com/name/nm0001290,Richard E. Grant,CM,
https://www.imdb.com/name/nm0005113,Eriq La Salle,CM,
https://www.imdb.com/name/nm6748436,Dafne Keen,CF,
https://www.imdb.com/name/nm0005264,Elise Neal,CF,
https://www.imdb.com/name/nm7535414,Jason Genao,CM,
https://www.imdb.com/name/nm0517448,Lennie Loftin,,
https://www.imdb.com/name/nm7875835,Quincy Fouse,,
https://www.imdb.com/name/nm0359695,James Handy,CM,
https://www.imdb.com/name/nm1305056,Lara Grice,CF,
https://www.imdb.com/name/nm1664127,James Moses Black,CM,
https://www.imdb.com/name/nm2163847,Maureen Brennan,CF,
https://www.imdb.com/name/nm6375101,Bryant Tardy,CM,
https://www.imdb.com/name/nm4504897,Dave Davis,CM,
https://www.imdb.com/name/nm8792797,Cynthia Woods,CF,
https://www.imdb.com/name/nm5251859,Katie Anne Mitchell,CF,
https://www.imdb.com/name/nm4299489,Bryce Romero,CM,
https://www.imdb.com/name/nm0039327,Mark Ashworth,CM,
https://www.imdb.com/name/nm4700284,Parker Lovein,,
https://www.imdb.com/name/nm0010736,Amy Adams,CF,
https://www.imdb.com/name/nm0147147,Henry Cavill,CM,
https://www.imdb.com/name/nm2631090,Jadin Gould,,
https://www.imdb.com/name/nm0771493,Richard Schiff,CM,
https://www.imdb.com/name/nm0000401,Laurence Fishburne,CF,
https://www.imdb.com/name/nm0657548,Chris Palermo,,
https://www.imdb.com/name/nm0000178,Diane Lane,CF,
https://www.imdb.com/name/nm0000126,Kevin Costner,CM,
https://www.imdb.com/name/nm1517976,Chris Pine,,
https://www.imdb.com/name/nm0000179,Jude Law,,
https://www.imdb.com/name/nm0279545,Isla Fisher,,
https://www.imdb.com/name/nm2023672,Dakota Goyo,,
https://www.imdb.com/name/nm3549573,Isabella Blake-Thomas,CF,
https://www.imdb.com/name/nm3961654,Emily Nordwind,CF,
https://www.imdb.com/name/nm3262224,Kamil McFadden,CM,
https://www.imdb.com/name/nm2810621,Olivia Mattingly,CF,
https://www.imdb.com/name/nm1367048,Khamani Griffin,CM,
https://www.imdb.com/name/nm5361585,Georgie Grieve,,
https://www.imdb.com/name/nm3676232,Dominique Grund,,
https://www.imdb.com/name/nm3161916,Jacob Bertrand,CM,
https://www.imdb.com/name/nm0226206,Rich Dietl,CM,
https://www.imdb.com/name/nm1899400,April Lawrence,CF,
https://www.imdb.com/name/nm0001497,Tobey Maguire,,
https://www.imdb.com/name/nm0290556,James Franco,CM,
https://www.imdb.com/name/nm0799777,J.K. Simmons,,
https://www.imdb.com/name/nm0542133,Joe Manganiello,CM,
https://www.imdb.com/name/nm0731772,Cliff Robertson,CM,
https://www.imdb.com/name/nm0914223,Myk Watford,,
https://www.imdb.com/name/nm0032216,Peter Appel,CM,
https://www.imdb.com/name/nm0365281,Rosemary Harris,CF,
https://www.imdb.com/name/nm0768539,Jill Sayre,,
https://www.imdb.com/name/nm0132257,Bruce Campbell,CM,
https://www.imdb.com/name/nm0703595,Timothy Patrick Quill,CM,
https://www.imdb.com/name/nm1171163,Jim Norton,CM,
https://www.imdb.com/name/nm0079439,Jack Betts,CM,
https://www.imdb.com/name/nm0036439,Evan Arnold,,
https://www.imdb.com/name/nm0000547,Alfred Molina,CM,
https://www.imdb.com/name/nm0000484,John Landis,CM,
